date,val,diff,change,key
2020-01-01,8946,276,3.183391003460208,less_hs
2020-02-01,8670,0,0,less_hs
2020-03-01,8439,-231,-2.6643598615916955,less_hs
2020-04-01,6872,-1798,-20.738177623990772,less_hs
2020-05-01,6887,-1783,-20.565167243367934,less_hs
2020-06-01,7218,-1452,-16.74740484429066,less_hs
2020-07-01,6884,-1786,-20.599769319492502,less_hs
2020-08-01,7536,-1134,-13.079584775086506,less_hs
2020-09-01,8093,-577,-6.655132641291811,less_hs
2020-10-01,8243,-427,-4.925028835063437,less_hs
2020-11-01,8585,-85,-0.9803921568627451,less_hs
2020-12-01,8288,-382,-4.405997693194925,less_hs
2021-01-01,8297,-373,-4.302191464821223,less_hs
2021-02-01,7579,-1091,-12.583621683967705,less_hs
2020-01-01,34299,-494,-1.4198258270341735,hs_only
2020-02-01,34793,0,0,hs_only
2020-03-01,33460,-1333,-3.831230419912051,hs_only
2020-04-01,27557,-7236,-20.797286810565343,hs_only
2020-05-01,28708,-6085,-17.489150116402723,hs_only
2020-06-01,29355,-5438,-15.629580662776995,hs_only
2020-07-01,30274,-4519,-12.988244761877388,hs_only
2020-08-01,31007,-3786,-10.8814991521283,hs_only
2020-09-01,32284,-2509,-7.21122064783146,hs_only
2020-10-01,32910,-1883,-5.412008162561435,hs_only
2020-11-01,32622,-2171,-6.239760871439658,hs_only
2020-12-01,32006,-2787,-8.010231943206966,hs_only
2021-01-01,31482,-3311,-9.516282010749288,hs_only
2021-02-01,31750,-3043,-8.7460121288765,hs_only
2020-01-01,36088,27,0.07487313163805773,college_or_assoc
2020-02-01,36061,0,0,college_or_assoc
2020-03-01,35803,-258,-0.715454368985885,college_or_assoc
2020-04-01,30634,-5427,-15.049499459249605,college_or_assoc
2020-05-01,31581,-4480,-12.423393694018468,college_or_assoc
2020-06-01,32643,-3418,-9.478383849588198,college_or_assoc
2020-07-01,32755,-3306,-9.167799007237736,college_or_assoc
2020-08-01,33169,-2892,-8.01974432212085,college_or_assoc
2020-09-01,33055,-3006,-8.335875322370429,college_or_assoc
2020-10-01,33863,-2198,-6.0952275311278115,college_or_assoc
2020-11-01,33647,-2414,-6.6942125842322735,college_or_assoc
2020-12-01,33538,-2523,-6.996478189734062,college_or_assoc
2021-01-01,33142,-2919,-8.094617453758907,college_or_assoc
2021-02-01,33292,-2769,-7.6786556113252535,college_or_assoc
2020-01-01,59015,-396,-0.6665432327346787,ba_or_more
2020-02-01,59411,0,0,ba_or_more
2020-03-01,59405,-6,-0.010099139889919376,ba_or_more
2020-04-01,55151,-4260,-7.170389321842756,ba_or_more
2020-05-01,55933,-3478,-5.854134756189931,ba_or_more
2020-06-01,57043,-2368,-3.9857938765548466,ba_or_more
2020-07-01,57072,-2339,-3.936981367086903,ba_or_more
2020-08-01,57935,-1476,-2.4843884129201665,ba_or_more
2020-09-01,57021,-2390,-4.022824056151218,ba_or_more
2020-10-01,57199,-2212,-3.723216239416943,ba_or_more
2020-11-01,57287,-2124,-3.5750955210314586,ba_or_more
2020-12-01,57985,-1426,-2.4002289138375046,ba_or_more
2021-01-01,58001,-1410,-2.3732978741310533,ba_or_more
2021-02-01,59092,-319,-0.5369376041473801,ba_or_more
